index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
039,tehuacán,cuacnopalan-tehuacán,mex-135d,41.048,11485,0.6,72.0,0.3,4.0,5.6,5.2,0.5,5.9,1.3,0.1,0.1,2.8,1.6,4191867,8.3,6.1,8.3,9.1,8.2,7.5,8.6,9.0,7.6,8.5,8.7,10.1
040,miahuatlán,tehuacán-miahuatlán,mex-135d,71.415,5753,0.8,69.4,0.4,5.7,4.8,6.5,0.4,5.7,1.6,0.2,0.1,3.6,0.8,2099777,8.4,5.8,7.9,9.5,8.0,7.0,8.8,9.1,7.2,8.1,8.8,11.4
041-01,coixtlahuaca,miahuatlán-coixtlahuaca,mex-135d,141.3,507,1.1,75.9,0.3,6.1,5.0,3.9,0.1,3.1,1.8,0.0,0.0,0.1,2.6,185036,9.1,7.2,8.4,9.5,8.7,7.3,8.7,8.7,7.4,7.8,7.5,9.7
041-02,coixtlahuaca,miahuatlán-nochixtlán,mex-135d,141.3,4826,0.8,65.8,0.4,6.1,4.9,7.1,0.5,6.3,1.5,0.2,0.2,4.2,2.0,1761557,8.4,5.7,7.8,9.6,7.9,7.0,8.9,9.1,7.2,8.1,8.9,11.4
042-01,huitzo,nochixtlan-oaxaca,mex-135d,217.01,6951,1.1,74.3,0.3,3.9,4.2,4.6,0.3,4.2,0.9,0.1,0.1,2.8,3.2,2537180,8.4,6.3,8.1,9.2,8.1,7.3,8.7,9.1,7.2,8.2,8.6,10.8
042-02,huitzo,nochixtlan-huitzo,mex-135d,217.01,472,2.7,73.9,0.4,1.5,6.7,5.3,0.2,3.1,1.6,0.0,0.0,0.4,4.2,172248,8.6,6.9,7.7,9.4,8.2,7.5,8.6,8.9,7.7,8.3,8.3,9.9
043,huitzo bis,huitzo-oaxaca,mex-135d,217.01,1070,2.7,92.4,0.1,0.4,1.4,0.4,0.0,0.4,0.2,0.0,0.0,0.0,2.0,390607,7.3,6.5,7.4,7.9,8.4,7.7,8.4,8.5,7.9,9.2,9.6,11.2
044,centinela,centinela-rumorosa,mex-002d,61.7,12785,0.5,70.1,1.2,2.5,4.3,0.8,12.8,1.1,0.2,0.1,3.4,0.0,3.0,4666598,7.2,7.1,8.3,8.9,8.6,8.5,10.0,9.0,8.1,8.4,7.8,8.1
045-01,el hongo,rumorosa-tecate,mex-002d,92.36,9276,0.3,70.7,0.9,3.4,3.1,1.4,0.5,13.0,0.8,0.2,0.1,4.7,0.9,3385888,7.2,6.7,8.5,9.0,8.6,8.4,9.6,8.8,8.0,8.5,8.1,8.6
045-02,el hongo,el hongo-tecate,mex-002d,92.36,1138,0.3,90.1,1.6,0.6,1.3,0.6,0.2,2.0,0.4,0.0,0.0,0.1,2.8,415454,7.0,6.6,7.7,8.6,8.3,8.6,10.4,9.3,8.9,8.4,7.7,8.5
045-03,el hongo,rumorosa-el hongo,mex-002d,92.36,225,0.4,84.0,2.1,1.6,1.5,0.5,0.2,1.8,0.3,0.0,0.0,0.3,7.3,82168,5.9,5.3,6.6,8.6,11.0,8.7,12.7,9.7,9.1,8.3,7.4,6.7
046-01,tijuana,tecate-tijuana,mex-002d,147.6,10779,0.5,74.6,0.4,1.8,3.7,1.6,0.6,11.6,0.8,0.1,0.1,2.9,1.3,3934359,7.1,7.1,8.3,8.7,8.8,8.5,9.2,8.8,8.4,8.4,8.3,8.4
046-02,tijuana,ent. tecate-paso del águila aux. 1,mex-002d,130.5,1740,0.4,73.9,0.7,0.5,4.1,2.4,1.2,12.9,1.8,0.2,0.0,0.9,1.0,634968,7.3,7.3,8.3,8.6,8.4,8.2,9.5,8.7,8.5,8.6,7.9,8.7
046-03,tijuana,ent. esperanza-ent. sandoval aux. 2,mex-002d,122.8,4578,0.5,86.1,0.6,1.2,2.5,0.8,0.3,4.3,0.6,0.1,0.0,2.1,0.9,1670962,7.0,6.9,8.1,8.6,8.7,8.8,9.8,9.1,8.3,8.6,7.8,8.3
046-04,tijuana,paso del águila-tijuana,mex-002d,130.5,379,0.0,44.5,0.1,0.0,1.3,2.4,0.1,50.7,0.1,0.0,0.0,0.8,0.0,138472,8.7,8.7,9.9,7.4,9.9,9.6,7.6,7.0,7.7,7.5,8.5,7.5
046-05,tijuana,ent. planta dart-tijuana,mex-002d,137.8,167,0.5,83.3,0.1,0.0,0.6,1.1,5.1,9.2,0.0,0.0,0.0,0.1,0.0,60827,8.3,7.7,9.0,8.3,8.8,9.0,8.5,9.1,8.1,8.4,8.0,6.8
047,puente inter. shuchiate ii ing. luis cabrer,hidalgo-tecún umán,mex,0.0,508,0.0,6.6,0.2,0.6,5.5,5.5,0.7,67.8,11.0,0.2,0.0,1.9,0.0,185283,7.3,7.7,9.3,7.7,8.5,8.9,8.3,8.9,8.3,8.7,7.1,9.3
048-01,aeropuerto los cabos,san josé del cabo-aeropuerto los cabos,mex-001d,105.1,2210,0.1,98.7,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,806724,8.0,8.0,9.3,8.8,8.7,8.3,8.5,7.8,7.2,8.1,8.3,9.0
048-02,aeropuerto los cabos,cabo san lucas-aeropuerto los cabos,mex-001d,105.1,943,0.2,98.4,0.3,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,344144,6.5,7.4,9.5,8.3,7.8,7.7,8.6,8.5,7.1,8.6,9.6,10.4
048-03,aeropuerto los cabos,el mangle-aeropuerto los cabos,mex-001d,105.1,774,0.1,90.5,0.6,0.8,1.5,0.8,0.1,1.5,1.0,0.1,0.0,1.8,1.2,282467,5.8,5.9,8.0,8.8,7.9,7.8,8.6,8.3,7.2,9.1,10.6,12.0
049-01,san josé del cabo,aeropuerto los cabos-san josé del cabo,mex-001d,110.21,2744,0.1,98.7,0.1,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1001518,7.1,7.6,9.3,8.6,8.6,8.4,8.4,7.6,7.0,8.8,9.0,9.6
049-02,san josé del cabo,cabo san lucas-san josé del cabo,mex-001d,110.21,226,0.6,96.3,0.3,0.3,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,82345,4.7,6.6,10.0,8.0,7.6,8.0,7.6,9.1,6.1,9.3,11.5,11.5
049-03,san josé del cabo,el mangle-san josé del cabo,mex-001d,110.21,634,0.4,90.7,0.8,0.2,2.3,0.7,0.1,1.0,0.6,0.0,0.0,0.3,2.9,231423,5.6,5.4,7.8,8.6,8.4,8.3,9.2,8.9,6.7,9.0,10.9,11.2
050,zacatecas,ent. cuauhtémoc-ent. osiris,mex-045d,97.8,9269,0.3,48.4,0.9,4.5,4.9,4.0,1.3,21.2,4.2,0.6,0.1,9.1,0.5,3383351,7.5,6.8,7.9,8.4,11.3,7.9,8.8,8.9,7.3,7.9,8.2,9.1
051,chiapa de corzo,tuxtla gutiérrez-san cristóbal de las casas,mex-190d,1.3,10451,0.9,86.7,0.1,1.5,4.4,2.1,0.2,1.7,0.8,0.0,0.0,0.7,0.9,3814485,8.9,7.7,8.8,9.4,8.8,7.8,8.6,8.4,7.4,7.7,7.7,8.8
052,tehuantepec,tehuantepec-salina cruz,mex-185d,1.8,1359,2.4,66.6,0.4,1.9,4.0,14.3,0.4,4.0,2.5,0.0,0.0,2.2,1.3,496130,7.2,5.8,8.9,10.2,12.2,7.1,8.4,7.8,7.3,7.4,7.8,9.9
053-01,ixtepec,ixtepec-la ventosa,mex-185d,47.5,613,1.5,76.7,0.3,0.7,10.3,2.1,0.4,2.3,1.1,0.0,0.0,1.6,3.0,223638,8.0,6.6,8.5,9.8,9.2,7.7,8.7,8.8,7.7,7.8,7.9,9.3
053-02,ixtepec,ixtepec-tehuantepec,mex-185d,47.5,1057,3.1,87.2,0.3,0.4,5.2,1.0,0.1,0.5,0.1,0.0,0.0,0.0,2.1,385775,7.4,6.3,9.0,9.4,8.6,8.0,8.2,8.7,9.7,7.9,7.4,9.4
053-03,ixtepec,tehuantepec-la ventosa,mex-185d,47.5,1728,0.7,51.8,0.5,1.3,4.6,14.3,0.6,7.7,4.4,0.2,0.2,12.1,1.6,630631,7.0,6.2,8.6,9.6,8.3,7.6,8.7,8.1,8.7,8.4,8.5,10.3
054,acatlán de juárez,acatlán-atoyac,mex-054d,0.6,15279,0.4,64.0,0.6,2.2,4.1,3.7,1.1,8.3,4.1,0.7,0.3,10.4,0.1,5576795,8.0,7.4,8.3,8.7,8.3,7.9,8.4,8.6,7.8,8.3,8.5,9.8
055,sayula,atoyac-cd. guzmán,mex-054d,58.3,15616,0.4,60.1,0.3,2.1,4.5,4.5,1.4,9.9,5.0,0.7,0.3,10.7,0.1,5699979,8.0,7.5,8.4,8.6,8.3,7.9,8.6,8.5,7.7,8.3,8.4,9.8
056,sayula remota,sayula-cd. guzmán,mex-054d,64.6,1960,0.7,76.3,0.4,1.4,7.7,5.9,0.5,4.4,1.8,0.0,0.0,0.5,0.4,715582,7.9,7.9,8.8,8.6,8.6,7.3,7.4,7.6,8.1,9.1,8.8,9.9
057,san marcos,cd. guzmán-el trapiche,mex-054d,122.5,12567,0.4,54.1,0.4,2.1,4.8,4.6,1.3,12.2,5.6,0.7,0.3,13.4,0.1,4586809,9.2,8.1,8.8,8.8,7.7,7.4,8.4,8.3,7.2,7.8,8.4,9.9
058,ent. trapichillo,tepic-ent. trapichillo,mex-015d,6.3,3381,2.5,92.0,0.2,0.2,1.7,1.4,0.0,0.3,0.1,0.0,0.0,0.0,1.6,1234138,6.8,6.1,7.1,10.0,9.1,8.3,9.0,8.8,7.7,8.1,8.5,10.5
059,trapichillo,tepic-san blas,mex-015d,8.65,11942,1.0,62.3,0.3,5.6,3.4,3.9,1.1,14.1,1.7,0.2,0.0,3.5,2.9,4358781,7.1,6.1,6.8,10.0,9.1,8.3,9.0,8.8,7.7,8.1,8.5,10.5
060-01,yago,ent. san blas-yago,mex-015d,42.31,471,1.6,74.6,0.3,2.8,3.1,2.1,0.3,3.2,0.4,0.0,0.0,0.7,10.9,171755,9.2,7.9,8.7,8.5,8.5,8.1,8.2,7.5,6.9,7.4,8.1,11.0
060-02,yago,yago-est. ruíz,mex-015d,42.31,123,6.7,34.1,0.5,0.8,3.0,6.1,0.5,4.7,0.9,0.0,0.0,1.0,41.7,45061,9.2,7.6,7.8,8.6,7.5,8.3,9.2,8.6,7.3,7.6,8.1,10.2
