strech_id,tollbooth_id,tollbooth_name,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,pedestrian,valid_from
782,,RAYÓN-VICENTE GUERRERO,26,52,26,83,83,83,83,83,83,120,120,157,157,157,43,pase,,,,,
783,,VICENTE GUERRERO-LA PITAHAYA,76,152,76,240,240,240,240,240,240,300,300,410,410,410,120,pase,,,,,
784,,VICENTE GUERRERO-TAMBACA,42,84,42,116,116,116,116,116,116,140,140,220,220,220,58,pase,,,,,
785,,VICENTE GUERRERO-TAMASOPO,23,46,23,64,64,64,64,64,64,74,74,110,110,110,32,pase,,,,,
786,,TAMASOPO-LA PITAHAYA,45,90,45,134,134,134,134,134,134,170,170,255,255,255,67,pase,,,,,
787,,TAMASOPO-TAMBACA,24,48,24,62,62,62,62,62,62,74,74,110,110,110,31,pase,,,,,
788,,TAMBACA-LA PITAHAYA,29,58,29,78,78,78,78,78,78,93,93,152,152,152,39,pase,,,,,
790,,PERIFERICO-CARMEN SERDAN,20,60,20,115,115,115,115,115,115,184,184,297,297,297,54,pase,,,,,
789,,PERIFERICO-CUAUHTÉMOC,30,60,30,170,170,170,170,170,170,271,271,305,305,305,80,pase,,,,,
796,,HERMANOS SERDÁN-CARMEN SERDÁN,8,17,8,43,43,43,43,43,43,68,68,77,77,77,20,pase,,,,,
795,,HERMANOS SERDÁN-CUAUHTÉMOC,17,34,17,97,97,97,97,97,97,155,155,175,175,175,46,pase,,,,,
791,,SANTA ANA-CUAUHTEMOC,9,17,9,49,49,49,49,49,49,78,78,87,87,87,23,pase,,,,,
797,,CARMEN SERDÁN-PERIFERICO,20,40,20,113,113,113,113,113,113,181,181,203,203,203,53,pase,,,,,
798,,CARMEN SERDÁN-HERMANOS SERDÁN,7,14,7,40,40,40,40,40,40,64,64,72,72,72,19,pase,,,,,
792,,CUAUHTEMOC-PERIFÉRICO,30,60,30,170,170,170,170,170,170,271,271,305,305,305,80,pase,,,,,
794,,CUAUTEMOC-HERMANOS SERDÁN,17,34,17,97,97,97,97,97,97,155,155,174,174,174,46,pase,,,,,
793,,CUAUHTEMOC-SANTA ANA,9,17,9,49,49,49,49,49,49,78,78,88,88,88,23,pase,,,,,
799,,APASEO EL GRANDE - PALMILLAS,74,149,74,318,318,318,318,318,393,531,589,792,792,792,159,pase,,,,,
800,,QUERÉTARO - PALMILLAS,54,109,54,243,243,243,243,243,243,381,381,584,584,584,121,pase,,,,,
801,,APASEO EL ALTO - PALMILLAS,51,102,51,228,228,228,228,228,228,358,358,549,549,549,114,pase,,,,,
803,,HUIMILPAN - PALMILLAS,26,52,26,116,116,116,116,116,116,183,183,280,280,280,58,pase,,,,,
804,,AMEALCO I - PALMILLAS,10,21,10,46,46,46,46,46,46,73,73,111,111,111,23,pase,,,,,
805,,PALMILLAS - APASEO EL GRANDE,74,149,74,318,318,318,318,318,393,531,589,792,792,792,159,pase,,,,,
