"tollbooth_id","tollbooth_name","way","strech_id"
228,"lago de guadalupe",,918
228,"lago de guadalupe",,919
228,"lago de guadalupe",,920
228,"lago de guadalupe",,921
228,"lago de guadalupe",,922
228,"lago de guadalupe",,923
228,"lago de guadalupe",,924
228,"lago de guadalupe",,925
228,"lago de guadalupe",,926
229,"lago de guadalupe",,
230,"liverpool",,567
230,"liverpool",,568
230,"liverpool",,566
231,"liverpool",,583
231,"liverpool",,595
231,"liverpool",,608
231,"liverpool",,622
231,"liverpool",,636
231,"liverpool",,648
231,"liverpool",,662
231,"liverpool",,677
231,"liverpool",,692
231,"liverpool",,707
231,"liverpool",,722
231,"liverpool",,743
232,"lomas verdes",,
233,"lomas verdes",,949
233,"lomas verdes",,950
233,"lomas verdes",,951
233,"lomas verdes",,952
233,"lomas verdes",,953
233,"lomas verdes",,954
233,"lomas verdes",,955
233,"lomas verdes",,956
233,"lomas verdes",,957
233,"lomas verdes",,958
233,"lomas verdes",,959
233,"lomas verdes",,908
234,"madin",,
235,"madin",,
236,"madin",,944
236,"madin",,942
236,"madin",,945
236,"madin",,948
237,"madin",,938
237,"madin",,939
237,"madin",,941
237,"madin",,943
237,"madin",,946
237,"madin",,947
237,"madin",,940
238,"marquesa t2",,247
239,"mexico-pachuca",,842
239,"mexico-pachuca",,841
239,"mexico-pachuca",,843
239,"mexico-pachuca",,844
239,"mexico-pachuca",,846
240,"monumento",,266
241,"nabor carrillo",,130
242,"nabor carrillo",,129
243,"nabor carrillo",,131
244,"nopala",,
245,"nopala",,
246,"nopala",,963
246,"nopala",,961
246,"nopala",,964
246,"nopala",,967
246,"nopala",,969
246,"nopala",,968
246,"nopala",,965
247,"nopala",,
248,"nopala",,960
248,"nopala",,962
248,"nopala",,970
248,"nopala",,966
249,"ozumba",,6
250,"peñon",,132
251,"polotitlan",,164
252,"puente de vigas",,834
252,"puente de vigas",,835
252,"puente de vigas",,836
253,"queretaro-arco norte",,582
253,"queretaro-arco norte",,583
253,"queretaro-arco norte",,578
253,"queretaro-arco norte",,576
254,"queretaro-arco norte",,569
254,"queretaro-arco norte",,570
254,"queretaro-arco norte",,571
254,"queretaro-arco norte",,572
254,"queretaro-arco norte",,573
254,"queretaro-arco norte",,574
254,"queretaro-arco norte",,575
254,"queretaro-arco norte",,576
254,"queretaro-arco norte",,577
254,"queretaro-arco norte",,578
254,"queretaro-arco norte",,579
254,"queretaro-arco norte",,580
254,"queretaro-arco norte",,581
254,"queretaro-arco norte",,582
255,"queretaro-arco norte",,565
255,"queretaro-arco norte",,549
255,"queretaro-arco norte",,535
256,"queretaro-arco norte",,581
256,"queretaro-arco norte",,580
256,"queretaro-arco norte",,579
256,"queretaro-arco norte",,577
256,"queretaro-arco norte",,575
256,"queretaro-arco norte",,574
256,"queretaro-arco norte",,573
256,"queretaro-arco norte",,572
256,"queretaro-arco norte",,571
256,"queretaro-arco norte",,570
256,"queretaro-arco norte",,569
257,"queretaro-arco norte",,597
257,"queretaro-arco norte",,609
257,"queretaro-arco norte",,623
257,"queretaro-arco norte",,744
257,"queretaro-arco norte",,637
257,"queretaro-arco norte",,649
257,"queretaro-arco norte",,633
257,"queretaro-arco norte",,678
257,"queretaro-arco norte",,693
257,"queretaro-arco norte",,708
257,"queretaro-arco norte",,723
258,"queretaro-arco norte",,565
258,"queretaro-arco norte",,549
258,"queretaro-arco norte",,535
259,"queretaro-arco norte",,597
259,"queretaro-arco norte",,609
259,"queretaro-arco norte",,623
259,"queretaro-arco norte",,744
259,"queretaro-arco norte",,637
259,"queretaro-arco norte",,649
259,"queretaro-arco norte",,663
259,"queretaro-arco norte",,678
259,"queretaro-arco norte",,693
259,"queretaro-arco norte",,708
259,"queretaro-arco norte",,723
260,"rayon",,1401
261,"rayon",,1401
262,"rayon",,255
263,"rayon",,254
264,"rayon",,255
265,"revolucion",,122
266,"revolucion",,122
267,"revolucion",,121
268,"san marcos",,3
269,"san marcos bis","méxico-circuito exterior mexiquense",5
270,"san miguel",,927
270,"san miguel",,928
270,"san miguel",,929
270,"san miguel",,930
270,"san miguel",,931
270,"san miguel",,932
270,"san miguel",,933
270,"san miguel",,934
270,"san miguel",,935
270,"san miguel",,936
270,"san miguel",,937
271,"san nicolas",,756
271,"san nicolas",,763
271,"san nicolas",,766
272,"san nicolas",,760
272,"san nicolas",,759
272,"san nicolas",,761
273,"san nicolas",,759
273,"san nicolas",,760
273,"san nicolas",,761
274,"san nicolas",,756
274,"san nicolas",,763
274,"san nicolas",,766
275,"shagun",,688
275,"shagun",,685
275,"shagun",,684
275,"shagun",,683
275,"shagun",,682
275,"shagun",,680
275,"shagun",,679
275,"shagun",,678
275,"shagun",,677
275,"shagun",,675
275,"shagun",,674
276,"shagun",,687
276,"shagun",,687
276,"shagun",,681
277,"shagun",,673
277,"shagun",,654
277,"shagun",,634
277,"shagun",,740
277,"shagun",,619
277,"shagun",,603
277,"shagun",,587
277,"shagun",,572
277,"shagun",,555
277,"shagun",,541
277,"shagun",,527
278,"shagun",,703
278,"shagun",,717
278,"shagun",,731
279,"tenango",,251
280,"tepexpan","tepexpan-pirámides",126
281,"tepotzotlan",,160
282,"texcoco",,133
