"stretch_id","stretch_name","stretch_length_km","sct_id_via","road_id","manage","way"
45,"salina cruz-tehuantepec",22.7,180,10,"federal",
46,"Tehuantepec-la ventosa",52.6,180,10,"federal",
47,"Tehuantepec-ixtepec",30.9,180,10,"federal",
48,"Ixtepec-la ventosa",27.9,180,10,"federal",
49,"PUENTE NACIONAL ALVARADO",0.53,65,135,,
50,"PUENTE NACIONAL TLACOTALPAN",0.597,104,157,"federal",
51,"PUENTE NACIONAL CARACOL",0.164,68,137,"federal",
52,"PUENTE NACIONAL PAPALOAPAN",0.288,90,149,,
53,"PUENTE NACIONAL DOVALI",1.268,74,139,,
54,"Amozoc-ent. Ixtenco",25.7,196,11,"federal",
55,"ent. Ixtenco-ent oriental",35.8,196,11,"federal",
56,"ent. Ixtenco-cuapiaxtla",14,196,11,"federal",
57,"ent. Cuapiaxtla-ent orientel",21.8,196,11,"federal",
58,"ent. Oriental-perote II",55.5,196,11,"federal",
59,"ent. Oriental-ent. Cantona",18.8,196,11,"federal",
60,"ent. Cantona-ent perote II",36.7,196,11,"federal",
61,"libramiento de perote",18,196,11,"federal",
62,"ent. Ixtenco- ent. Audi",10.3,196,11,"federal",
63,"AMOZOC-PEROTE (AUDI CUAPIAXTLA A1 Y A2)",,196,11,"federal",
64,"AMOZOC-PEROTE (AUDI CUAPIAXTLA)",,196,11,"federal",
65,"PEROTE-BANDERILLA",30,215,12,"federal",
66,"LIBRAMIENTO XALAPA",29.6,215,12,"federal",
67,"CARDEL-VERACRUZ",28.5,7,13,"federal",
68,"SAN JULIÁN-VERACRUZ",7.91,7,13,"federal",
69,"LIBRAMIENTO PLAN DEL RIO",24.38,,196,"federal",
70,"PUENTE NACIONAL NAUTLA",0.214,87,14,,
71,"las chopas-nuevo sacrificio",63.2,35,15,"federal",
72,"las chopas-las chopas II",17,35,15,"federal",
73,"las chopas II-nuevo sacrificio",46.2,35,15,"federal",
74,"nuevo sacrificio-raudales",70.8,35,15,"federal",
75,"nuevo sacrificio-malpasito",49.6,35,15,"federal",
76,"Malpasito-raudales",21.2,35,15,"federal",
77,"Raudales-ocozocuautla",64,35,15,"federal",
78,"TUXTLA GUTIERREZ-SAN CRISTOBAL DE LAS C",46,121,16,"federal",
79,"Arriaga-tierra y libertad",20,209,17,"federal",
80,"tierra y libertad-jiquipilas",41.598,209,17,"federal",
81,"Jiquipilas-montes azules",9.101,209,17,"federal",
82,"montes azules-ocozocoautla",22.301,209,17,"federal",
83,"AGUA DULCE-CARDENAS",53.3,8,18,"federal",
84,"agua dulce-magallanes",22.8,8,18,"federal",
85,"Magallanes-cardenas",30.5,8,18,"federal",
86,"loma de caballo-frontera",23.7,256,19,"federal",
87,"loma de caballo-nacajuca",16.6,256,19,"federal",
88,"Nacajuca-frontera",7.38,256,19,"federal",
89,"PUENTE NACIONAL GRIJALVA",0.254,77,20,"federal",
90,"PUENTE NACIONAL USUMACINTA",0.347,106,21,"federal",
