"tollbooth_id","legacy_id","tollbooth_name","lat","lng","status","state","place","lines","type","manage","gate_to","anti_evation_sys","in_out"
153,133,"chamapa capufe",19.4403544322794,-99.2970915361599,"open","edomx","entronque",3,"ticket","capufe",,,
154,133,"chamapa capufe",19.4402101813669,-99.2976941531725,"open","edomx","entronque",3,"toll","capufe",,,
155,413,"chamapa inbursa",19.4390768494521,-99.2965578337065,"open","edomx","entronque",3,"toll","chamapa-laventa",,,
156,413,"chamapa inbursa",19.431723548883,-99.296849713189,"open","edomx","troncal",2,"ticket","chamapa-laventa",,,
157,470,"chapultepec",19.1965772234631,-99.5252430438996,"open","edomx","troncal",3,"toll","lerma-santiago",,,
159,134,"cipreses",19.4688428446155,-99.3113364746613,"open","edomx","entronque",1,"toll","capufe",,,
160,316,"circuito exterior mexiquense-a-12 entronque santa ines",19.702077285062,-99.0857239049988,"open","edomx","entronque",8,"toll","cem",,1,
161,316,"circuito exterior mexiquense-a-1a huehuetoca",19.8221362439279,-99.2362438824378,"open","edomx","entronque",2,"toll","cem",,1,
162,316,"circuito exterior mexiquense-a-1b huehuetoca",19.8232358802547,-99.2355312251485,"open","edomx","entronque",2,"toll","cem",,1,
163,316,"circuito exterior mexiquense-a-2 los reyes",19.6108656849047,-99.0385518111732,"open","edomx","troncal",5,"toll","cem",,1,
164,316,"circuito exterior mexiquense-a-21 bordo xochiaca",19.4256339193153,-98.9985588878843,"open","edomx","entronque",2,"toll","cem",,1,
165,316,"circuito exterior mexiquense-a-22 bordo xochiaca",19.4256771492297,-98.9987669281238,"open","edomx","troncal",2,"toll","cem",,1,
166,316,"circuito exterior mexiquense-a-27 san buena aventura",19.3070781629101,-98.8717998848697,"open","edomx","entronque",2,"toll","cem",,1,
167,316,"circuito exterior mexiquense-a-28 san marcos",19.3000044561586,-98.8750632429357,"open","edomx","entronque",2,"toll","cem",,1,
168,316,"circuito exterior mexiquense-a-3 pachuca",19.6030917988298,-99.0386258765502,"open","edomx","entronque",1,"toll","cem",,1,
169,316,"circuito exterior mexiquense-a-31 ent. tultepec",19.7023252048145,-99.0852268569273,"open","edomx","entronque",4,"toll","cem",,1,
170,316,"circuito exterior mexiquense-a-32 ent. tultepec",19.7042601240312,-99.0872982554282,"open","edomx","entronque",4,"toll","cem",,1,
171,316,"circuito exterior mexiquense-a-33 vialidad mexiquense",19.638353310851,-99.1562264874497,"open","edomx","entronque",3,"toll","cem",,1,
172,316,"circuito exterior mexiquense-a-34 vialidad mexiquense",19.6373432117869,-99.16439473629,"open","edomx","entronque",4,"toll","cem",,1,
173,316,"circuito exterior mexiquense-a-35 vialidad mexiquense",19.6382391604722,-99.1589328843303,"open","edomx","entronque",1,"toll","cem",,1,
174,316,"circuito exterior mexiquense-a-36 vialidad mexiquense",19.6383364532437,-99.1591983084272,"open","edomx","entronque",4,"toll","cem",,1,
175,316,"circuito exterior mexiquense-a-4 pachuca",19.6033925997714,-99.037243200214,"open","edomx","entronque",2,"toll","cem",,1,
176,316,"circuito exterior mexiquense-a-5 hank gonzalez",19.5848210454982,-99.0280728965625,"open","edomx","entronque",2,"toll","cem",,1,
177,316,"circuito exterior mexiquense-a-6 periferico",19.4872266389019,-99.0163808873065,"open","edomx","entronque",2,"toll","cem",,1,
178,316,"circuito exterior mexiquense-a-7 periferico",19.4857143481535,-99.0151694821313,"open","edomx","entronque",2,"toll","cem",,1,
179,316,"circuito exterior mexiquense-a-8 pichardo",19.5063674846948,-99.014963201681,"open","edomx","troncal",1,"etc","cem",,0,
180,316,"circuito exterior mexiquense-a-9 ctm",19.488289296902,-99.0187359797232,"open","edomx","entronque",1,"toll","cem",,1,
181,316,"circuito exterior mexiquense-aifa a35 de distribuidor santa ines",19.6374553433972,-99.1557590152763,"open","edomx","entronque",3,"toll","cem",,1,
183,316,"circuito exterior mexiquense-t-5 tultitlan",19.6378282429966,-99.1644698381424,"open","edomx","troncal",10,"toll","cem",,1,
184,316,"circuito exterior mexiquense-t-7 -texcoco",19.4507435928314,-98.9111007411002,"open","edomx","troncal",3,"toll","cem",,1,
185,316,"circuito exterior mexiquense-t0 jorobas",19.8199355174303,-99.2398769545456,"open","edomx","troncal",4,"toll","cem",,1,
186,316,"circuito exterior mexiquense-t1 jaltenco",19.6940011030181,-99.0802645683289,"open","edomx","troncal",11,"toll","cem",,1,
187,316,"circuito exterior mexiquense-t1 tultepec",19.6938495840203,-99.0806829929352,"open","edomx","troncal",11,"toll","cem",,1,
188,316,"circuito exterior mexiquense-t2 conmex",19.5755807196202,-99.0203708410263,"open","edomx","troncal",7,"toll","cem",,1,
189,316,"circuito exterior mexiquense-t3 nabor carillo",19.4358443631285,-98.9985464586299,"open","edomx","troncal",4,"toll","cem",,1,
190,316,"circuito exterior mexiquense-t3 nabor carillo",19.4358295337978,-98.9983784923055,"open","edomx","troncal",4,"toll","cem",,1,
193,316,"circuito exterior mexiquense-t4 chalco",19.3001217080219,-98.8753169775009,"open","edomx","troncal",3,"toll","cem",,1,
194,316,"circuito exterior mexiquense-t6 cuautitlan izcalli",19.6354551388205,-99.2051693736003,"open","edomx","troncal",7,"toll","cem",,1,
195,139,"cuautitlan (lecheria)",19.6049153800799,-99.2058332123623,"open","edomx","troncal",3,"ticket","capufe",,,
196,139,"cuautitlan (lecheria)",19.6048004143814,-99.2058855154375,"open","edomx","troncal",4,"toll","capufe",,,
197,904,"ecatepec (piramides)",19.6118416439505,-99.0257459878922,"open","edomx","troncal",6,"toll","ecatepec-piramides",,,
198,573,"ecatepec (san cristobal)",19.5878611788836,-99.0423408398211,"open","edomx","troncal",6,"toll","golfo-centro",,,
199,573,"ecatepec (san cristobal)",19.5877196676328,-99.0417185673369,"open","edomx","troncal",6,"toll","golfo-centro",,,
200,444,"el dorado",19.4082302892543,-99.7159212827683,"open","edomx","troncal",4,"toll","ideal",,0,
201,399,"ent. gran canal",19.507143955204,-99.0843726041781,"open","edomx","entronque",2,"toll","anesa",,0,
202,399,"ent. gran canal",19.5072233740303,-99.0843383755434,"open","edomx","entronque",2,"toll","anesa",,,
203,588,"ent. indios verdes",19.5135365861925,-99.0988628962673,"open","edomx","entronque",1,"toll","anesa",,,
204,915,"ent. peñon",19.4688423056394,-99.0044319335029,"open","edomx","entronque",2,"toll","pinfra",,0,
205,576,"entronque ojo de agua",19.665029989506,-99.0017402167334,"open","edomx","entronque",3,"toll","golfo-centro",,,
206,576,"entronque ojo de agua",19.6653758296542,-99.002033909126,"open","edomx","entronque",3,"toll","golfo-centro",,,
207,412,"huixquilucan",19.4143623901941,-99.2997711896897,"open","edomx","entronque",3,"toll","chamapa-laventa",,,
208,412,"huixquilucan",19.4144585186482,-99.2997175455094,"open","edomx","entronque",1,"ticket","chamapa-laventa",,,
209,411,"interlomas",19.3948677261955,-99.2955139235045,"open","edomx","entronque",3,"ticket","chamapa-laventa",,,
210,411,"interlomas",19.3957141787124,-99.2959323176098,"open","edomx","entronque",6,"ticket","chamapa-laventa",,,
211,411,"interlomas",19.3956010757768,-99.2943799495697,"open","edomx","entronque",4,"toll","chamapa-laventa",,,
212,926,"ixtapaluca",19.2899807349313,-98.8803089371496,"open","edomx","entronque",8,"toll","capufe",,,
213,1057,"ixtapan de la sal",18.8527518441656,-99.6701037883759,"closed","edomx","troncal",4,"toll","atisa",,,
214,1057,"ixtapan de la sal",18.8528916597987,-99.6674768563603,"closed","edomx","entronque",2,"toll","atisa",,,
215,1057,"ixtapan de la sal",18.854036254452,-99.6667627298176,"closed","edomx","entronque",2,"toll","atisa",,,
216,441,"jilotepec",19.9766006857844,-99.5314818620682,"open","edomx","entronque",2,"toll","arconorte",,,
217,69,"jorobas",19.8256731393049,-99.2500793205841,"open","edomx","entronque",1,"toll","capufe",,0,
218,69,"jorobas",19.8261890886413,-99.2497502458536,"open","edomx","entronque",1,"toll","capufe",,0,
219,835,"la finca",18.9063524709847,-99.6545577049256,"open","edomx","troncal",3,"toll","omc",,0,
220,835,"la finca",18.8998280229582,-99.653212507084,"open","edomx","entronque",2,"toll","omc",,,
221,532,"la hortaliza",19.381419413433,-99.8046930151196,"open","edomx","troncal",2,"toll","acomex",,,
222,532,"la hortaliza",19.3818811565397,-99.806883942413,"open","edomx","entronque",2,"toll","acomex",,0,
223,532,"la hortaliza",19.3812646770569,-99.8047053821462,"open","edomx","troncal",3,"toll","acomex",,0,
224,532,"la hortaliza",19.3818064512847,-99.8087650967359,"open","edomx","entronque",1,"toll","acomex",,0,
225,138,"lago de guadalupe",19.609587934985,-99.2362018021454,"open","edomx","entronque",1,"ticket","capufe",,,
226,138,"lago de guadalupe",19.6097288072063,-99.2360979521691,"open","edomx","entronque",2,"ticket","capufe",,,
227,138,"lago de guadalupe",19.6100096754187,-99.2364566146133,"open","edomx","entronque",3,"toll","capufe",,,
228,138,"lago de guadalupe",19.6088296215831,-99.2370914743355,"open","edomx","entronque",4,"toll","capufe",,,
229,138,"lago de guadalupe",19.6078738937035,-99.2387880721728,"open","edomx","entronque",2,"ticket","capufe",,,
230,466,"liverpool",19.9786009244792,-99.5234293110728,"open","edomx","entronque",2,"toll","arconorte",,,
231,466,"liverpool",19.9786178651579,-99.5229686607925,"open","edomx","entronque",2,"toll","arconorte",,,
